iter	RMSE
266	0.1601093528
267	0.1598023593
268	0.1596020259
269	0.159169223
270	0.1589607058
271	0.158798001
272	0.1583029828
273	0.1580701534
274	0.1579837807
275	0.1578196646
276	0.1576286586
277	0.1571686951
278	0.1569694377
279	0.1566893908
280	0.1563466112
281	0.1560807944
282	0.155639822
283	0.1555249836
284	0.1551215279
285	0.1547762591
286	0.1546362581
287	0.1543062482
288	0.1540217728
289	0.1537051047
290	0.1533868201
291	0.1529411265
292	0.152572538
293	0.1523806696
294	0.1522115462
295	0.151881966
296	0.1517013573
297	0.1512586674
298	0.1510670059
299	0.1508062463
300	0.1502591666
301	0.1499704978
302	0.1494946373
303	0.1492398787
304	0.1488849165
305	0.1487147658
306	0.1484763606
307	0.1478511781
308	0.1476774142
309	0.1473460062
310	0.1471081178
311	0.1467704139
312	0.146373444
313	0.1462440952
314	0.1457681375
315	0.1455237614
316	0.1452138215
317	0.1450185617
318	0.1446348629
319	0.1442438797
320	0.1439424173
321	0.1436330051
322	0.1432238565
323	0.1427346321
324	0.1425650954
325	0.1422146433
326	0.1420440791
327	0.1417809875
328	0.1414243458
329	0.1412330767
330	0.1410275211
331	0.1406228712
332	0.1403755324
333	0.1402048345
334	0.1397313513
335	0.1394104014
336	0.1391913769
337	0.1390213438
338	0.138862707
339	0.1386835941
340	0.1385277972
341	0.138335732
342	0.1381042012
343	0.1379102693
344	0.1377244582
345	0.1374460356
346	0.1373399667
347	0.1371225347
348	0.1368912416
349	0.1367744142
350	0.1367274802
351	0.1365744769
352	0.136183294
353	0.1361175103
354	0.1359966369
355	0.1358638648
356	0.135575115
357	0.1354381154
358	0.1351167687
359	0.1349826556
360	0.134686644
361	0.1345769259
362	0.1343638287
363	0.1341335423
364	0.1340427867
365	0.133984701
366	0.1338417679
367	0.1335287821
368	0.1333391937
369	0.1331298984
370	0.1330090461
371	0.1328835812
372	0.1326261217
373	0.1324764917
374	0.1322721634
375	0.1320909501
376	0.1317807186
377	0.1315404328
378	0.1311890986
379	0.1307694143
380	0.1306870917
381	0.1306228972
382	0.1302496254
383	0.1299625338
384	0.1298846075
385	0.1297043236
386	0.1293349603
387	0.1292325792
388	0.1289063725
389	0.128517468
390	0.1284162706
391	0.1282914561
392	0.1281893266
393	0.1279993731
394	0.1279023787
395	0.1277590073
396	0.1276033344
397	0.1273496844
398	0.1271843505
399	0.1270210478
400	0.1268644695
401	0.1266404617
402	0.1262164062
403	0.126128896
404	0.1258121754
405	0.125663661
406	0.1254469818
407	0.1253956107
408	0.125185475
409	0.1249696904
410	0.1247383866
411	0.124677076
412	0.1242204747
413	0.1241048651
414	0.1239477343
415	0.1237866294
416	0.1235275512
417	0.1232854197
418	0.1228860231
419	0.1227748559
420	0.1225880089
421	0.1224500344
422	0.1222870503
423	0.1222038132
424	0.1218233521
425	0.1215579413
426	0.121439594
427	0.1210726047
428	0.1209960143
429	0.1208551308
430	0.1205443091
431	0.1204030688
432	0.1202733337
433	0.119938508
434	0.1196567441
435	0.1194592324
436	0.1192203003
437	0.1189355013
438	0.1187551441
439	0.1186402404
440	0.1183482119
441	0.1180256195
442	0.1177034607
443	0.1175340517
444	0.1174781434
445	0.1173468989
446	0.1171751387
447	0.1169531832
448	0.1167712626
449	0.1165821798
450	0.1164067602
451	0.1161893345
452	0.1161125006
453	0.1159472236
454	0.1156972715
455	0.1154138673
456	0.1150374448
457	0.1147169681
458	0.1145985539
459	0.1144900625
460	0.1144341554
461	0.1143157411
462	0.1142027926
463	0.1140696569
464	0.1138347253
465	0.1136880926
466	0.113504137
467	0.1132632001
468	0.1131502814
469	0.112775059
470	0.1126750165
471	0.1124553935
472	0.1123573722
473	0.1121858065
474	0.1119466903
475	0.1117446748
476	0.1115231193
477	0.1113197974
478	0.111064451
479	0.1109022449
480	0.1107218455
481	0.1105759841
482	0.1104278749
483	0.1101987388
484	0.1099477187
485	0.1097827273
486	0.1096323851
487	0.1095272746
488	0.1094026369
489	0.109266496
490	0.1091833905
491	0.1090725836
492	0.1089997563
493	0.1086318757
494	0.1084283075
495	0.1082430418
496	0.1081030726
497	0.107830023
498	0.1077662006
499	0.107561965
